300000014,make,model,202,0,80,,2024-12-03T22:42:19.856792700
300000015,sda,asd,231,0,213,,2024-12-03T22:43:17.963859900
300000016,213,123,213,0,321,,2024-12-03T22:44:37.092830100
300000017,123,123,123,0,123,,2024-12-03T22:56:32.168902400
300000018,qwe,qwe,213,0,233,,2024-12-03T23:16:51.186853200
300000019,qwe,qwe,213,0,233,,2024-12-03T23:17:01.629031500
300000020,qwe,qwe,123,0,123,,2024-12-03T23:25:50.851510300
300000021,qwe,qwe,123,0,213,,2024-12-03T23:29:38.537676200
300000022,qwe,qwe,123,0,123,,2024-12-03T23:31:04.803982700
300000023,qwe,qwe,123,0,213,,2024-12-03T23:33:14.703383300
300000024,qwe,qwe,123,0,123,,2024-12-03T23:34:48.868823700
300000025,123,123,213,0,123,,2024-12-03T23:37:31.821755100
300000026,qwe,qwe,123,0,123,,2024-12-03T23:43:09.239342
300000027,qwe,eqqwe,123,0,213,,2024-12-03T23:44:48.902099200
300000028,qwe,eqqwe,123,0,213,,2024-12-03T23:44:52.018142500
300000029,qwe,qwe,213,0,123,,2024-12-03T23:46:13.353501700
300000030,qwe,qwe,213,0,123,,2024-12-03T23:46:16.851839500
300000031,qwe,qwe,123,0,123,N/A,2024-12-03T23:48:18.964786200
300000032,qwe,qwe,213,0,123,N/A,2024-12-03T23:49:17.636305900
